timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2026-07-15 11:45:00,64697.12,64714.0,64684.98,64704.18,26.17832,1784116199999,1693907.77701710,5191,16.63442000,1076335.20599550,0
2026-07-15 11:50:00,64704.18,64738.44,64700.0,64733.19,38.90713,1784116499999,2518102.93489070,7857,28.16208000,1822676.59168290,0
2026-07-15 11:55:00,64733.19,64755.28,64725.85,64732.15,65.20056,1784116799999,4221039.42847710,4249,31.34702000,2029389.95980780,0
2026-07-15 12:00:00,64732.15,64742.0,64717.62,64738.05,38.79517,1784117099999,2511220.88125520,5347,25.73644000,1665922.63815390,0
2026-07-15 12:05:00,64738.04,64738.04,64626.73,64703.99,63.64342,1784117399999,4116232.67481710,10372,39.83400000,2576177.22237910,0
2026-07-15 12:10:00,64703.99,64740.0,64642.03,64732.57,90.27969,1784117699999,5841046.24327440,10773,59.89636000,3875119.41487080,0
2026-07-15 12:15:00,64732.57,64768.17,64722.0,64722.41,51.17323,1784117999999,3313047.37682560,4413,34.76959000,2250996.93647700,0
2026-07-15 12:20:00,64722.41,64722.42,64606.0,64635.24,54.41609,1784118299999,3518399.27200410,6403,21.89143000,1415370.48450640,0
2026-07-15 12:25:00,64635.23,64698.0,64635.23,64688.52,38.52457,1784118599999,2491078.42972350,5410,30.30787000,1959733.45114080,0
2026-07-15 12:30:00,64688.51,64984.0,64682.74,64783.6,430.10235,1784118899999,27894234.32451690,38743,209.58663000,13593255.27706030,0
2026-07-15 12:35:00,64783.61,64864.94,64717.81,64846.81,217.89614,1784119199999,14116038.61868760,26159,102.17486000,6619336.38517420,0
2026-07-15 12:40:00,64846.8,64886.0,64762.0,64787.99,129.91991,1784119499999,8421968.38377360,15547,41.93349000,2717963.05963470,0
2026-07-15 12:45:00,64788.0,65000.0,64786.0,64993.54,207.60999,1784119799999,13468839.24123510,23381,97.92590000,6354969.43004440,0
2026-07-15 12:50:00,64993.53,65249.9,64951.65,65197.66,344.83265,1784120099999,22450816.67421700,38175,206.74370000,13460730.87291510,0
2026-07-15 12:55:00,65197.66,65197.66,65106.0,65164.0,170.20822,1784120399999,11088839.60860920,19931,115.77570000,7542451.24805320,0
2026-07-15 13:00:00,65164.0,65399.9,65156.0,65319.33,247.18773,1784120699999,16142147.96323330,39892,137.86409000,9001949.63788170,0
2026-07-15 13:05:00,65319.33,65438.85,65282.92,65307.49,181.16653,1784120999999,11841940.29856330,26505,105.57022000,6901289.18583060,0
2026-07-15 13:10:00,65307.49,65399.81,65292.0,65380.31,112.57253,1784121299999,7354804.41981640,15761,68.23289000,4457967.48053420,0
2026-07-15 13:15:00,65380.31,65550.0,65360.12,65531.99,261.54089,1784121599999,17127054.18123200,25446,186.45686000,12210811.43559280,0
2026-07-15 13:20:00,65532.0,65577.0,65442.0,65502.57,150.17037,1784121899999,9838759.15438280,20200,70.60836000,4626321.11525160,0
2026-07-15 13:25:00,65502.56,65502.56,65281.13,65312.72,159.09589,1784122199999,10394907.42204570,24685,56.39001000,3683574.40151550,0
2026-07-15 13:30:00,65312.72,65500.0,65308.0,65450.47,99.55694,1784122499999,6510406.79561770,29176,55.08548000,3601760.47135020,0
2026-07-15 13:35:00,65450.48,65518.0,65385.73,65448.0,103.4889,1784122799999,6774288.86627130,26071,45.93310000,3006820.01528910,0
2026-07-15 13:40:00,65448.0,65494.0,65250.0,65280.0,137.3243,1784123099999,8975289.20938350,24903,65.75552000,4298082.88560050,0
2026-07-15 13:45:00,65279.99,65279.99,64888.0,64970.0,293.08105,1784123399999,19065710.24039760,36454,92.58902000,6022686.80567830,0
2026-07-15 13:50:00,64970.01,65030.0,64888.0,65030.0,106.03077,1784123699999,6887711.21471730,26297,51.35236000,3336114.31388810,0
2026-07-15 13:55:00,65029.99,65122.0,64976.01,65117.99,90.90767,1784123999999,5914734.89522320,21005,50.67778000,3297314.93515830,0
2026-07-15 14:00:00,65118.0,65270.0,65072.0,65215.99,115.22816,1784124299999,7510082.55891420,32368,68.49486000,4463767.83868540,0
2026-07-15 14:05:00,65216.0,65350.0,65215.99,65254.0,89.67067,1784124599999,5854776.50118610,19689,51.38939000,3355083.03576820,0
2026-07-15 14:10:00,65253.99,65399.81,65253.99,65292.48,76.00047,1784124899999,4965322.87801340,19265,45.92545000,3000348.99256350,0
2026-07-15 14:15:00,65292.49,65374.0,65236.78,65362.0,102.08286,1784125199999,6665525.50067860,19194,47.11741000,3076940.11174870,0
2026-07-15 14:20:00,65361.99,65422.89,65200.0,65260.0,162.78337,1784125499999,10626884.28328760,23842,77.28261000,5046199.71782870,0
2026-07-15 14:25:00,65260.0,65371.11,65070.0,65326.0,129.72597,1784125799999,8462010.44062320,22791,64.32574000,4196554.72782780,0
2026-07-15 14:30:00,65326.01,65482.22,65298.06,65474.0,141.72435,1784126099999,9266161.43582380,27434,57.66315000,3770549.29833200,0
2026-07-15 14:35:00,65473.99,65517.05,65329.63,65344.32,109.51495,1784126399999,7167162.38173470,25154,56.21197000,3679449.42416500,0
2026-07-15 14:40:00,65344.32,65451.99,65332.0,65370.0,110.48735,1784126699999,7224181.81586770,19472,74.72456000,4885613.03209540,0
2026-07-15 14:45:00,65370.0,65477.56,65322.6,65458.0,51.50531,1784126999999,3366997.36331480,15881,29.57486000,1933410.16367570,0
2026-07-15 14:50:00,65458.0,65496.4,65415.42,65420.01,42.46345,1784127299999,2779074.49861710,13304,23.45638000,1535123.39725040,0
2026-07-15 14:55:00,65420.01,65448.0,65374.0,65399.81,55.94578,1784127599999,3659011.14092470,11665,27.78198000,1817041.70210140,0
2026-07-15 15:00:00,65399.8,65408.0,65261.71,65305.11,89.00951,1784127899999,5813199.69576760,21764,49.90476000,3258979.88378810,0
2026-07-15 15:05:00,65305.11,65491.68,65302.0,65429.99,71.48847,1784128199999,4676177.44833390,19347,46.27558000,3027032.42383220,0
2026-07-15 15:10:00,65429.99,65451.99,65384.0,65399.51,33.51185,1784128499999,2192398.77931220,14929,16.88756000,1104850.88080110,0
2026-07-15 15:15:00,65399.51,65415.99,65297.04,65415.99,46.78226,1784128799999,3057756.24494190,18204,25.48163000,1665712.37455290,0
